,Product Description
20,"What moves you? Find out in the Waffle One, which celebrates our history of moving people. Suede accents, durable textile and playful bungee cord details nod to our fictional ""NIKE MOVING CO"". Its Waffle outsole and springy midsole (with classic wedge shape) keep you going. So where to next?"
21,"Inspired by the Nike Air Max 90, the Nike Air Max Excee is a celebration of a classic through a new lens. Elongated lines and distorted proportions on the upper bring the '90s look you love into a new, modern space."
22,"Supercharge simplicity with the Nike E-Series 1.0. From the easy-to-style colours to the plush materials, including a padded collar and foam midsole, it's your invitation to get going. And for the finishing touch, the outsole pattern is inspired by zen sand gardens. Go ahead—find your calm place."
23,"Elena Delle Donne's debut basketball shoe invites everyone to step in and take a shot at the game. Made for all athletes of all abilities, it has a collapsible heel and a large strap, so you can get in and lock in with one hand. Full-length Nike Air cushioning plus a forefoot Zoom Air unit give you an optimal blend of bounce and energy return to help you feel fresh all game long. This '80s-basketball-era look draws inspiration from Elena's basketball journey and blends it with 1 of her favourite chapters in Nike basketball lore."
24,"From the gym to the court and everywhere in between, the famed cross-trainer from '87 lets you travel without a glitch. Design details nod to the original (like the forefoot strap), while premium suede ages to perfection. Oh, and Nike Air cushioning and a mid-cut collar keep you comfortable for today's adventures. So, where to next?"
25,"Flash back to '96 in the Air Penny 2. Bold and unmistakable, it was the first Air Penny to combine Max and Zoom Air technology. Now, the daring design comes wrapped in patent leather, while the signature 1 Cent logo on the side and the wavy design lines keep the coveted off-court appeal strong."
26,"Innovated to withstand your toughest matches, this updated design puts flexible, durable materials exactly where they're needed most. Signature Rafael Nadal details let you rep your favourite player while you run the court."
27,"Find out what moves you in the Nike Air Max 97. Our iconic design, originally inspired by Japanese bullet trains, now tells a playful story rooted in our history of moving people. The textile upper, hemp accents and snail-trail stitching nod to our fictional ""NIKE MOVING CO."". And to top it off on the bottom, visible Nike Air cushioning lets you ride in first-class comfort. So, where next?"
28,"Honour your gift. From dunks and dimes to off-court 'fits, the Why Not .6 makes every moment the right one to show off your game. Colours and graphics invite you into the world of Russell Westbrook, paying tribute to his on-court domination and off-court persona. Exposed foam and a mix of tumbled leather and suede boost the vintage vibes. The patchwork insole is emblazoned with classic hoops iconography, while woven mesh on the upper lets you check out the interior tech. Custom tongue labels bring the final stamp of approval—lace up and let your presence be known."
29,"Have you ever had déjà shoe? Flash back to one of the first shoes to popularise Zoom Air technology and relive the hoops revolution. With its flowing lines, patent leather accents and futuristic 'bug eye' detailing, the Air Zoom Flight 95 is no dream—it's your ticket to turn heads."
30,"Featuring a balanced and energised ride for any run, the Pegasus 39 Premium is here to help get you moving. Regardless of whether your pace is snail-like or lickety-split, bold colours in this Peg 39 help keep you on the go. Zoom Air and a supportive sensation work with expressive, playful graphics to remind you fun can be found in every stride, even when those heavy miles won't run themselves. So go ahead, put 1 foot in front of the other. We've got you."
31,Bridge the gap between your weekend training run and race day in a durable design that can be deployed not just at the starting line of your favourite race but in the days and months after your conquest. It offers comfort and reliability but with a propulsive sensation that'll help you feel fast and fresh. That kind of versatility is uncommon in the running arena. But who said you can't have it all?
32,"More than perhaps any other silhouette, the Air More Uptempo encapsulates '90s basketball flavour at its finest. Big and loud, the unapologetic design represents a hybrid of style and innovation that made major waves when it debuted—and still turns heads today. This crafted take keeps it simple and easy to style in classic black and white, while pops of blue add a breath of fresh air. Speaking of air, the graffiti-style AIR graphic (an off-court fave) extends down the midsole for extra punch. Visible Nike Air cushioning finishes it off, giving you the edge in comfort."
33,"Russell Westbrook's 6th signature shoe is—you guessed it—all about speed. To get you goin' as fast as possible, we've wrapped the rubber outsole nearly up to the midsole, so you're not gonna slip when you explode from 0 to 100. Added security comes from the interior bootie that keeps you strapped in as you jet across the court. It's all held together by an outer shroud and fastened with a zip collar that spells out Russell's signature question: ""Why Not?"""
34,"Cheer your team to victory with the Nike Offcourt Slides. Brazil-inspired graphics and colours let you rep your squad. And if that's not enough, the innovative foam midsole lets you slide from the streets to the bleachers to the beaches in all-star comfort."
35,"Inspired by the original AJ1, this mid-top edition maintains the iconic look you love while choice colours and crisp leather give it a distinct identity."
36,"Reinvent an icon in the AJ1 Craft. The upper is made from canvas and leather for a unique take on the kicks you know and love, while an exposed edge around the collar adds even more texture to your look. And as always, they're made for everyday wear with classic cupsole construction and always-satisfying Air in the sole."
37,"Come, come to the cauldron where vintage hoops style boils and bubbles. Watch shadows creep from beneath the Swoosh. Like eyes peering out from the dark, dark night, the reflective-design upper brings a trick-or-treater shine. Lace up and beware, this basketball icon is sure to bring a little scare."
38,"Vintage details elevate an icon to bring you timeless style that's easy to wear. Real and synthetic leather give these kicks a classic feel, while layered Swoosh logos and exposed foam on the tongue add a retro look. Of course, some things never change: Nike Air units still cushion your every step."
39,"Once you take a few strides in the Nike Alphafly 2, you'll never look at your favourite pair of old racing shoes in the same way. These rocket ships are made to help shave precious time off your personal records without surrendering the foundation you need to go the full distance. A thick, lightweight support system brings comfort and speed together so you can enjoy our greatest energy return while you chase your personal bests."
40,Get that Jordan energy on your feet this festive season. Rich grain leather with bright details make this pair shine like festive lights.
41,"Celebrate #23 loud and proud with an all-over print that pays homage to 23 of Jordan's iconic logos. This lightweight jacket makes a subtle statement with a crisp collar, neutral palette and sleek full-zip opening."
42,"Celebrate #23 loud and proud with an all-over print that pays homage to 23 of Jordan's iconic logos. These lightweight bottoms fit like trousers, with welt pockets, a zip fly and belt loops."
43,"Tell the world to watch out, you're coming through! This bold, lightweight jacket has you covered, whether you're shooting around with friends or sitting courtside at the game. Retro vibes bring the heat, from the quarter-zip design to the big screen-printed graphics that recall your favourite icon."
44,"Easy breezy. These classic mesh shorts are relaxed and breathable, with a big, retro-inspired Jumpman logo to keep your look fresh."
45,"Go ahead, add a burst of colour. This Nike tee is made from soft, lightweight cotton in a relaxed fit for casual, everyday comfort. The stylised Nike Futura logo printed on the chest brings a heavy dose of seasonal vibrancy to your look."
46,"Ready for cooler weather, the Nike Sportswear Tech Fleece Joggers feature an updated fit perfect for everyday wear. Roomy through the thigh, this tapered design narrows at the knee to give you a comfortable feel without losing the clean, tailored look you love. Tall ribbed cuffs complete the jogger look while a zipped pocket on the right leg provides secure small-item storage and elevates the look."
47,"We're proud to announce your admission to State University at Nike on a basketball scholarship. Our soft cotton tee has an easy, relaxed fit with the comfort that scores major points on and off the court. Welcome to the team!"
48,"Comfy and casual, but still sleek and stylish—these fleece trousers do it all for you. Lightweight with plenty of pockets, they rep Jordan and PSG with embroidered and screen-printed graphics for subtle flair."
49,"Stay true to the history and culture of Nike Air in this French terry hoodie. Raglan sleeves and a roomy fit through the chest and body pair up with soft ribbing on the cuffs and hem for a clean, comfortable finish. The hood can be adjusted with the bungees and Nike-branded cord locks."
50,"Fly high as you sail to the rim in this roomy tee. It's made with angled sleeves so nothing holds back your shot. Plus, we made it from smooth jersey fabric to keep you comfortable."
51,The Nike Sportswear T-Shirt sets you up with soft cotton jersey and a classic logo on the chest.
52,"Designed for running, training and yoga, these versatile shorts are built to handle those days when you need to shake up your exercise routine. Our sweat-wicking Form Shorts offer a smooth feel and a minimal fit made to keep up with your moves, from tough dead lifts to sweaty hot yoga classes."
53,Get the all-day wearability you want with the Nike Dri-FIT Fly Standard Issue Hoodie. Season-right French terry with sweat-wicking technology helps you stay comfortable on and off the court.
54,"The sweat-wicking Ready Top keeps you fresh for all your fitness activities. It's cut with a relaxed fit with quick-drying, breathable fabric to help you stay cool when your workout heats up. Plus, it has angled sleeves for better movement, whether you're lifting at the gym or stretching outside."
55,"To be at your best on the course, you need to be at your most comfortable. That's why we used Tiger's insights on this polo, creating a super-soft, stretchy feel so nothing holds you back as you take your swing. It has the iconic mock-neck look for extra warmth, plus sweat-wicking fabric that helps keep the top from sticking to your skin when you sweat."
56,"Updating the Legend T-shirt, this sweat-wicking tee is soft in all the right ways. We also cut it with a more relaxed, looser fit than previous versions so you can move through your reps without missing a beat."
57,The Nike DNA Basketball Trousers have 4-way stretch that makes them easy to move in. Smooth woven fabric is lightweight and unlined with a zip pocket to hold your stuff.
58,"We made the sweat-wicking Hyverse Tank to help you get through your hardest of workouts, whether you're going on a quick run, doing reps at the gym or finding your centre on the yoga mat. It's built to handle your best, so give it all you've got."
59,"Designed for running, training and yoga, our sweat-wicking Unlimited Shorts were made to do it all. They're here for whatever your workout requires, with a smooth, stretchy outer layer that helps you stay free to move. A tight inner layer adds extra support during your routine. Plus, a hidden pocket lets you keep your phone close as you bring the heat to the gym or a run."
60,"Turn your workout into a tune-up for your body with this sweat-wicking UV Hyverse Top. It's straight from the Nike Body Shop, with smooth fabric and a relaxed fit that helps you get through your hardest workouts."
61,"Made from sweat-wicking fabric, this long-sleeve tee is designed to stay comfortable from your first stride to your last. Made from soft and smooth jersey fabric, it makes you feel like you're running in the clouds."
62,The 1990s was an era when hoops reached new heights. We've looked back on those days with our Circa Shorts. They have an oversized fit with silky-soft fabric and a look inspired by the hard-court fashions of the era.
63,Get through each rep and every stride with this sweat-wicking camo T-shirt. The smooth fabric helps you stay cool while its relaxed fit sits slightly off the body to help you move comfortably through your workout.
64,"Designed for running, training and yoga, our sweat-wicking Challenger Shorts keep it light and cool with a relaxed fit that helps you get the most out of your movement. We geared them for more than just running—with a comfortable pocket that won't irritate when you move from the track to the gym."
65,"Jordan and Russell Westbrook's Honor The Gift® bring you an extra-roomy tee that honours two of the greatest. The graphics are inspired by Russell's coming of age in the inner city of Los Angeles, embodying the ethos of strength, focus and leadership."
66,"Pull on these comfy woven shorts and find your flow. They're made from cotton canvas for durable comfort, finished with a heavy wash to add soft texture and a bit of nostalgia to your look. A soft elastic waistband with an external drawcord helps you find the right fit so you can stay comfortable from sunrise til sunset."
67,"Ready to rock the warmth and comfort of your favourite weekender hoodie, but need to keep your look clean? This Nike Tech Fleece hoodie strikes the right balance with a lightweight, low-profile design that packs in the heat without adding bulk. You can layer with ease whether you're lounging at home or making your city commute."
68,"Made from soft, lightweight cotton in a relaxed fit, this Nike tee has a Futura logo printed on the chest, so you can bring that signature Nike style to any outfit."
69,"The Nike AeroSwift Shorts keep you ready for your race.Lightweight and breathable, they have a convenient pocket for smaller items. This product is made from at least 75% recycled polyester fibres."
70,"Simple, smooth and comfortable, our sweat-wicking Academy Top is ready to become your everyday training essential. It's stretchy and light, so you stay quick on your feet as you pass, dribble and shoot. Plus, breathable mesh on the back helps keep things cool."
71,"Stretchy and breathable, the NikeCourt Dri-FIT Advantage Top will soon be your go-to for fast, fierce matches. Thanks to a new hybrid neckline, you'll get the look of a V-neck with the comfort of a crew. This product is made from at least 75% recycled polyester fibres."
72,Step up and take on your run in soft comfort. The Nike Dri-FIT Challenger Trousers are made with details like sweat-wicking technology and press studs to keep your gear close. A tapered fit means they won't get in your way. This product is made from 100% recycled polyester fibres.
73,Experience next-level performance in the NikeCourt Dri-FIT Advantage Shorts. Not only are they made from incredibly stretchy fabric but they have elongated overlapping hem vents that are designed to give you ultimate side-to-side mobility—exactly what you need on the court. This product is made from at least 75% recycled polyester fibres.
74,"Crafted from breathable, sweat-wicking fabric, our Victory Polo puts a camo spin on golf performance."
75,"The Nike Sportswear JDI T-Shirt sets you up with soft jersey fabric and a ""Just Do It."" logo across the chest."
76,"Step up to the tee with the lightweight feel of our Unscripted Jogger. It's all about versatility, arriving ready to play on and off the course with stretchy fabric so you can swing free without a hitch. Bringing along extra tees or a scorecard? We added plenty of pockets so you can carry your golf essentials along for the journey."
77,"Much more than a base layer, the Nike Pro Dri-FIT Shorts hug you with lightweight fabric that keeps you feeling dry, cool and supported from warm-ups through to cool-downs. They're made from at least 75% recycled polyester fibres in a stretchy design that helps you move at full intensity during your toughest workouts or competitions."
78,"The radiance lives on in the Nike Air Force 1 '07, the b-ball icon that puts a fresh spin on what you know best: crisp leather, bold colours and the perfect amount of flash to make you shine."
79,"You'll score major points in this legendary classic. Crossing hardwood comfort with off-court flair, this hoops original pairs crisp leather with playful paisley-print accents for nothing-but-net style. Plus, hidden Nike Air units and durable '80s construction add the comfort you've come to expect from the AF-1."
80,"In sneaker history, few styles last. Only 1 transcends every era—the Nike Air Force 1 '07 LX. Celebrate perfection with the b-ball original that delivers what you know best: woven fabric, bold details and some extra flash to keep you shining."
81,"You have to look closely at these unique kicks to find what makes us smile. With leather that ages to soft perfection, a sculpted collar and soft foam underfoot, the PLT.AF.ORM LV8 lets classic, easy-to-wear AF-1 style rise to new heights. Its elegantly shaped and lifted midsole delivers a proud, fresh look to the hoops franchise while pops of colour and subtle smiley face details keep your every step happy."
82,"Exaggerated, double overlays make the Nike AF-1 Shadow double the fun. The bold, playful design has reflective-design details and a comfy foam midsole."
83,"The radiance lives on with the b-ball original. Crossing hardwood comfort with off-court flair, it puts a fresh spin on what you know best: era-echoing, '80s construction, bold details and nothin'-but-net style."
84,"The Air Jordan 1 Mid brings full-court style and premium comfort to an iconic look. Its Air-Sole unit cushions play on the hardwood, while the padded collar gives you a supportive feel."
85,"This AJ1 is all about love. Self-love, love of the game, love for life—whatever the L-word evokes for you, this foray into floral footwear symbolises the passions that push you forwards. Want to get in the weeds? Just open the box: special-edition packaging names every flower in the bouquet, plus their hidden meanings. Or you can tear past the paper and let the beauty of the blooms gracing the collar and keepsake hang tag speak for themselves. Either way, you (and the whole world) are going to fall in love with your look."
86,"Intertwining functionality with fashion, the Air Max Bliss lets you bring chic style outdoors. From rustic colours to desert-inspired textures (including faux snakeskin), it delivers the perfect amount of wild. 2-tone laces nod to traditional hiking boots, while the plush design pairs soft cushioning with pillowy padding around the ankle. Where will your adventure take you?"
87,"We've got a secret: these retro kicks are brand spanking new. Done in fluffy suede and airy textile, they deliver era-echoing, '70s style with modern comfort. An updated wedge midsole gives the cushioning a serious boost, while maintaining the iconic Waffle outsole you know and love."
88,"Retro gets modernised with these sleek sneakers inspired by the Nike Daybreak. Era-echoing suede and nylon are paired in complementary colours, and the updated wedge midsole gives you an extra lift. Style, comfort, iconic Waffle outsole—this is a perfect new addition to your daily rotation."
89,"Rise to the occasion in style that soars. This shoe reworks an icon's original magic with a platform sole and low-cut silhouette. Air cushioning keeps you lifted, and sleek leather in contrasting colours adds visual interest."
90,"Let your style unfold in the Air Max 97, initially inspired by micromachine transformers. Taking the revolutionary full-length Nike Air cushioning that shook up the running world and adding fresh materials, it lets you ride in first-class comfort."
91,"Stay on your feet with soft and supportive cushioning, built to help keep you on the run. A wider forefoot and higher foam stacks help shield you from recurring attrition, giving you the peace of mind to pound the pavement every day. The springy responsiveness will surprise you too, adding an element of pure speed to 1 of our most tested shoes to help you go longer, faster and further than ever."
92,"Featuring a balanced ride to help kick-start your run, the Winflo 9 gives you the support you need to match your speed. It has a secure fit that helps keep your foot in place as the miles go by. We added plenty of foam through the midsole, giving you extra pep to every step. So load up your favourite tunes in this musically themed design, lace up, lock in and win your goals."
93,"Stay on your feet with soft and supportive cushioning, built to help keep you on the run. A wider forefoot and higher foam stacks help cushion you from recurring attrition, giving you the peace of mind to pound the pavement every day. The springy responsiveness will surprise you too, adding an element of pure speed to 1 of our most tested shoes to help you go longer, faster and further than ever."
94,"No foul, all play. Made from at least 20% recycled materials by weight, the original that wrote sneaker history gets updated with synthetic leather."
95,"The Nike Air Force 1 Shadow puts a playful twist on a classic b-ball design.Using a layered approach, doubling the branding and exaggerating the midsole, it highlights AF-1 DNA with a bold, new look."
96,"Let classic, easy-to-wear AF-1 style rise to the occasion with the Nike Air Force 1 PLT.AF.ORM. Its elegantly shaped and lifted midsole delivers a proud, new voice to the hoops franchise. The leather on the upper breaks in easily and ages to soft perfection while the sculpted collar and pillowy heel keep it comfy. Captivate your audience."
97,"The quad-burning box jumps that bring your ""why"" into focus. The sweat-soaked super-sets that leave you bent over double. This is what you live for: the struggle, the moment of truth, the breakthrough, the transformation. Designed for quick bursts of force, heart-thumping tempo changes and fast-paced workouts, this shoe helps push you to fresh HIIT heights."
98,"The Nike Free Metcon 4 Premium combines flexibility with stability to help you get the most out of your training programme. Updated ""chain-link"" mesh cools and flexes as you speed through agility drills, while support at the midfoot and heel braces you for your heaviest sets in the weight room."
99,"Re-imagining the hoops icon through a lens of self-expression, the Dunk Low Disrupt 2 bridges tried-and-tested style with a customisable design. Double eyestays pair with an offset bottom eyelet (and an extra set of laces) for a unique twist that lets you personalise your look, while its playful layering and rich textures energise every step."
100,"Nothing as fly, nothing as comfortable, nothing as proven. The Nike Air Max 90 stays true to its roots with its iconic Waffle outsole, durable stitched overlays and classic plastic accents. A mix of blue, grey and silver adds a touch of sporty retro style to this special edition while visible Max Air keeps the comfortable cushioning you love."
101,"Game on! Inspired by MJ's school days, this energetic colourway brings A+ energy to the streets. Bold bursts of Game Royal and Varsity Maize let you join the team in style, while subtly weathered leather ups the vintage appeal. Crafted details, like the woven tongue label, hang tag and Wings logo, add a premium boost to any outfit. And the finishing touch? Nike Air cushioning underfoot lets you keep pace, so nothing holds you back from showing off your legendary look."
102,"No wardrobe is complete without aged and weathered leather. Bridging vintage style with hoops DNA, the '80s b-ball icon returns with premium leather that's been perfectly softened for a timeless look. Natural variations in the upper (don't worry, they're still ready for everyday wear) make it look like you've been styling them for years, while giving your kicks an elevated feel. Oh, and the plush, high-top collar lets you take your game anywhere—in comfort."
103,Love is simple—and this uplifting Valentine's Day take on the Dunk Low keeps it uncomplicated. The silky-smooth leather overlays and richly textured leather underlays add a luxe sensation that's easy to fall for while the super-wearable colours keep you coming back to 'em again and again. And that little yellow heart on the heel? Let's just say first impressions matter and this one's gonna leave a smile.
104,"With its handcrafted feel and mixed materials, this Serena-inspired design delivers a sophisticated look that celebrates you being you. Easy-to-style colours let you wear it again and again, while energetic details like intricate layering and fresh branding bring a special aura to any outfit. Oh, and because we believe discovery is part of the fun, we've hidden small treasures throughout the shoes. Lace up and reveal your potential."
105,"Classic Jordan style reaches new heights in this lifted AJ-1. The platform stance and high-top collar make a statement, while crisp leather and flashy finishes make these kicks the winning assist your outfit needs. For added flex, the puffy, stitched-on Wings ""logo"" delivers big (and just wait until you feel the ultra-comfortable Air cushioning underfoot). Go ahead, elevate your game."
106,"Any time, anywhere, spread the love with some new Js this Valentines Day. From words of affirmation ('Damn, those look good!') to feelings of pure on-foot bliss (check out the lush velvet accents and springy Nike Zoom Air cushioning), these kicks know all the ways to make your heart go pitter-patter. The recessed Swoosh and updated collar bring a sweet look and feel to the classic design, and the richly textured leather is more decadent than a box of chocolates. Love yourself first—that's all we're saying."
107,"You chase the clock, challenging and encouraging each other all in the name of achieving goals and making gains. Our go-to model for training relies on a lighter, more breathable upper than our previous iteration to complement our standards of durability and comfort, so that you can float through your cardio, power through your lifts and dominate your workouts."
108,"Unleash your innermost strength and spirit in the Nike Zoom Bella 6 Premium. This design supports heavy lifts, explosive movements and primal post-set struts as you flaunt your hard-earned progress on the gym floor. Newly implemented Zoom Air cushioning gives you pop, and an updated forefoot ensures all sorts of foot shapes can flex through their workouts in true style."
109,"Intertwining functionality with fashion, the Air Max SC SE lets you bring chic style outdoors. From rustic colours to desert-inspired textures (including faux snakeskin), it delivers the perfect amount of wild. Textured laces nod to traditional hiking boots, while the Waffle outsole and visible Nike Air keep the coveted '80s look you love. Where will your adventure take you?"
110,"Intertwining functionality with fashion, we're honouring Air Max Month with an AM90 inspired by the outdoors. From rustic colours to desert-inspired textures (including faux snakeskin), it delivers the perfect amount of wild. 2-tone laces nod to traditional hiking boots, while the Waffle outsole and visible Nike Air keep the coveted '90s look you love. Where will your adventure take you?"
111,"Navigate the up and downs of uncompromising terrain with the Nike Zegama. Developed with great grip and stability, it has you covered, so you can keep climbing and reach greater personal heights when the going gets grimy and gritty. Whether it's a challenging, rocky landscape going uphill or a steep, slick decline down a treacherous trail, feel confident when you decide to off-road it."
112,"Once you take a few strides in the Nike Alphafly 2, you'll never look at your favourite pair of old racing shoes the same way again. These rocket ships are made to help shave precious time off your personal records without surrendering the foundation you need to go the full distance. A thick, lightweight support system marries the 2 worlds of comfort and speed in holy running matrimony. Enjoy the greatest energy return of all our racing shoes while you chase your personal bests and leave the competition in the dust."
113,"While these speedsters could easily pass the test on race day, they double as your go-to shoe for your training routine. The supportive fit and soft cushioning work together to make them comfortable enough to withstand those double-digit mileage days, and light enough to help quicken your tempo when the time is right."
114,"With these mid-top AJ-1s, you don't have to choose a favourite colour. Contrasting panels make these sneaks stand out, proving that every side is your good side. Durable leather up top and Air cushioning underfoot make 'em perfect for all-day wear—so lace up, and let the complements roll in."
115,"'Tis the season for festive-inspired Js, and this pair takes its cues from a classic Christmas tree—the Blue Spruce. Rich-grain leather and woven fabrics will elevate any streetwear outfit, while a buttery-soft interior and Air in the heel add soft comforts."
116,"Air Max style gets a boost of vitamin D. These sunny sandals retain the visible Nike Air unit and plenty of padding while letting those toes be free. Plus, a mesh upper keeps you cool in both looks and feel. Strap in—it's time for fun."
117,"Familiar but always fresh, the iconic Air Jordan 1 is remastered for today's sneakerhead culture. This Retro High OG version goes all in with premium leather, comfortable cushioning and classic design details."
118,"Rich patent leather and dazzling colours come together in a way only Nike and UNDEFEATED could. From the orange Swoosh to the nearly neon-pink toe—no 2 panels are alike. An orange and red woven tongue label serves as a nod to an early UNDEFEATED release, while the printed sockliner provides a hidden detail. With kicks like this on your feet, how can you not steal the show?"
119,"Built to go the distance, the Nike Zoom Rival Waffle 5 has a long-lasting rubber sole with nubs for cross-country races. With soft mesh and durable overlays, this lightweight design helps keep you comfortable."
120,"Whether it's yoga or a bike ride or a walk, you can move freely in our unbelievably soft Nike Zenvy shorts. Their InfinaSoft fabric is lightweight—but still squat-proof!—with softness that you can feel with every bend, stretch and shift. Fewer pockets give you a streamlined look, but the drop-in pocket in the middle of the back is still big enough to hold your phone. Plus, they're durable enough for you to move, wash and wear again and again."
121,"Whether it's yoga or a bike ride or a walk, you can move freely in our unbelievably soft Nike Zenvy leggings. Their InfinaSoft fabric is lightweight—but still squat-proof!—with softness that you can feel with every bend, stretch and shift. Fewer pockets give you a streamlined look, but the drop-in pocket in the middle of the back is still big enough to hold your phone. Plus, they're durable enough for you to move, wash and wear again and again."
122,"Icon. Legend. Classic. That's how we describe the Nike Air Force 1. Originally an all-star on the basketball court, these sneakers are now a streetwear superstar. Durable leather and Air cushioning give you the same timeless look and feel that continues to make these kicks a favourite."
123,"Shoes made for almost any occasion. Playtime? Sure. School? You bet. Activities with friends? Of course! The Nike E-Series 1.0 is your everyday shoe. The highlight is the lace-free design that stretches wide (helped by a hidden strap) so it's easy to slip your feet in. Combining plush comfort underfoot and stability where you need it, we have 1 goal: be confident and have fun every time you pull on your kicks."
124,Get your defender on their heels all game long with the Kyrie Flytrap 6. A lightweight and breathable design helps you move easily around the court. Soft cushioning and traction make sure you can confidently cut and pivot to your spot when it's game time.
125,"Designed for No. 77 and made for every athlete craving speed and efficiency, Luka's debut delivers the goods. The first shoe with full-length Formula 23 foam, it has an ultra-supportive fit crafted with the step-back in mind. Meanwhile, strong and lightweight Flight Wire embroidery keeps you feeling contained on the court. This is the assist you've been waiting for—get out there and make your shot."
